polling_id,divisiveness_ciro,divisiveness_haddad,divisiveness_alckmin,divisiveness_bolsonaro,divisiveness_amoedo,rate_ciro,rate_haddad,rate_alckmin,rate_bolsonaro,rate_amoedo,value_ciro,value_haddad,value_alckmin,value_bolsonaro,value_amoedo,candidate,value,rate
BA-GENTIO DO OURO-68,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.09805423624942547,0.7734027884173433,0.010265052857361729,0.11536693733721465,0.0029109851386548186,640,5048,67,753,19,JAIR MESSIAS BOLSONARO,1020,0.15267175572519084
BA-GLÓRIA-84,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.0597736512471157,0.8496868475991649,0.007911218547412372,0.07966157565102736,0.0029667069552796396,544,7733,72,725,27,FERNANDO HADDAD,8662,0.9064462118041021
BA-GLÓRIA-84,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.0597736512471157,0.8496868475991649,0.007911218547412372,0.07966157565102736,0.0029667069552796396,544,7733,72,725,27,JAIR MESSIAS BOLSONARO,894,0.09355378819589787
BA-GONGOGI-73,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.056664520283322604,0.7875080489375402,0.015453960077269801,0.13972955569864778,0.000643915003219575,176,2446,48,434,2,FERNANDO HADDAD,2629,0.8388640714741544
BA-GONGOGI-73,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.056664520283322604,0.7875080489375402,0.015453960077269801,0.13972955569864778,0.000643915003219575,176,2446,48,434,2,JAIR MESSIAS BOLSONARO,505,0.16113592852584557
BA-GOVERNADOR MANGABEIRA-131,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.0653050255307713,0.7299113141628595,0.040490907462151754,0.16214279315596167,0.002149959688255845,729,8148,452,1810,24,FERNANDO HADDAD,9480,0.7919799498746867
BA-GOVERNADOR MANGABEIRA-131,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.0653050255307713,0.7299113141628595,0.040490907462151754,0.16214279315596167,0.002149959688255845,729,8148,452,1810,24,JAIR MESSIAS BOLSONARO,2490,0.20802005012531327
BA-GUAJERU-93,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.07009569377990431,0.8277511961722488,0.015789473684210527,0.08492822966507177,0.0014354066985645933,293,3460,66,355,6,FERNANDO HADDAD,3851,0.8730446610745862
BA-GUAJERU-93,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.07009569377990431,0.8277511961722488,0.015789473684210527,0.08492822966507177,0.0014354066985645933,293,3460,66,355,6,JAIR MESSIAS BOLSONARO,560,0.12695533892541375
BA-GUANAMBI-64,0.03229365764535516,0.1131126113349852,0.014175881919285732,0.08671237778256824,0.003838521557511508,0.09762861385273823,0.5841121495327103,0.02327714210848109,0.28864966372608963,0.006332430779980784,4471,26750,1066,13219,290,FERNANDO HADDAD,32336,0.6773213799459584
