polarization2,year,state,N
4.63242785319518,2014,MARYLAND,842
4.000306690157583,2014,MASSACHUSETTS,893
4.359902213237794,2014,MICHIGAN,1495
4.363834002837919,2014,MINNESOTA,824
4.533154308581705,2014,MISSISSIPPI,293
4.362851049838582,2014,MISSOURI,887
4.314930355078978,2014,MONTANA,151
4.674576005718556,2014,NEBRASKA,324
4.328525439899726,2014,NEVADA,495
3.9872365932466702,2014,NEW HAMPSHIRE,227
4.381788437861932,2014,NEW JERSEY,1227
4.638705866009233,2014,NEW MEXICO,296
4.520039783222908,2014,NEW YORK,2656
4.574220571019164,2014,NORTH CAROLINA,1394
4.470950590201664,2014,NORTH DAKOTA,98
4.467647875940639,2014,OHIO,1971
4.6727331006917385,2014,OKLAHOMA,383
4.372053924666455,2014,OREGON,771
4.575980946072832,2014,PENNSYLVANIA,2219
3.9637624287700763,2014,RHODE ISLAND,154
4.463448321852773,2014,SOUTH CAROLINA,629
4.509589720568487,2014,SOUTH DAKOTA,108
4.555167218977569,2014,TENNESSEE,814
4.461159219049636,2014,TEXAS,3044
4.257145289255465,2014,UTAH,364
4.145627033220601,2014,VERMONT,96
4.499252979949684,2014,VIRGINIA,1183
4.143334285377415,2014,WASHINGTON,1042
4.570556540598262,2014,WEST VIRGINIA,283
4.461758535221904,2014,WISCONSIN,969
3.9998231178463737,2014,WYOMING,85
4.433678437494612,2015,ALABAMA,152
4.227072949470002,2015,ARIZONA,264
4.522412597435629,2015,ARKANSAS,108
4.482805782939431,2015,CALIFORNIA,1107
4.180584431096658,2015,COLORADO,188
4.439454436472659,2015,CONNECTICUT,123
4.878562008870455,2015,DELAWARE,37
4.496494301032048,2015,DISTRICT OF COLUMBIA,30
4.440057741065066,2015,FLORIDA,835
4.512765600611118,2015,GEORGIA,337
3.844781667481898,2015,HAWAII,31
4.637803859072065,2015,IDAHO,75
4.4037986723590095,2015,ILLINOIS,521
4.478927819017715,2015,INDIANA,235
4.222052633169285,2015,IOWA,131
4.552325182030214,2015,KANSAS,92
4.606571102985649,2015,KENTUCKY,210
4.69478259147645,2015,LOUISIANA,121
3.804974059190929,2015,MAINE,63
4.728208642426473,2015,MARYLAND,191
3.9016568662432127,2015,MASSACHUSETTS,233
4.320860619205726,2015,MICHIGAN,376
4.280407475339337,2015,MINNESOTA,210
4.59280476733079,2015,MISSISSIPPI,80
4.364343791681961,2015,MISSOURI,263
4.377886157948565,2015,MONTANA,40
4.5683426408368355,2015,NEBRASKA,91
4.552214309642636,2015,NEVADA,146
