district_id,candidate,party_id,value,N,Q,vQ/N
Københavns Omegns Storkreds,Cheri-Mae M. Williamson,The Danish Social-Liberal Party,268,9630,8,0.22263759086188992
Nordsjællands Storkreds,Margrethe Vestager,The Danish Social-Liberal Party,23793,26246,4,3.6261525565800503
Nordsjællands Storkreds,Christian Friis Bach,The Danish Social-Liberal Party,1566,26246,4,0.23866493941934008
Nordsjællands Storkreds,Helle Løvgreen Mølvig,The Danish Social-Liberal Party,490,26246,4,0.0746780461784653
Nordsjællands Storkreds,Helge Vagn Jacobsen,The Danish Social-Liberal Party,397,26246,4,0.06050445782214433
Bornholms Storkreds,Bente Johansen,The Danish Social-Liberal Party,286,369,2,1.5501355013550135
Bornholms Storkreds,Signe Kjøller,The Danish Social-Liberal Party,83,369,2,0.44986449864498645
Sjællands Storkreds,Zenia Stampe,The Danish Social-Liberal Party,3703,10980,11,3.7097449908925317
Sjællands Storkreds,Rasmus Helveg Petersen,The Danish Social-Liberal Party,3662,10980,11,3.6686703096539164
Sjællands Storkreds,Linda Kristiansen,The Danish Social-Liberal Party,1243,10980,11,1.245264116575592
Sjællands Storkreds,Jeppe Trolle,The Danish Social-Liberal Party,676,10980,11,0.677231329690346
Sjællands Storkreds,Jan Heidebo,The Danish Social-Liberal Party,529,10980,11,0.5299635701275045
Sjællands Storkreds,Hans-Christian Andersen,The Danish Social-Liberal Party,366,10980,11,0.36666666666666664
Sjællands Storkreds,Mikkel Balle,The Danish Social-Liberal Party,349,10980,11,0.34963570127504556
Sjællands Storkreds,Jon Ahrensbøll,The Danish Social-Liberal Party,228,10980,11,0.2284153005464481
Sjællands Storkreds,Kim Pagels,The Danish Social-Liberal Party,90,10980,11,0.09016393442622951
Sjællands Storkreds,Kristian Stokholm,The Danish Social-Liberal Party,69,10980,11,0.06912568306010929
Sjællands Storkreds,Steen Erik Baldus,The Danish Social-Liberal Party,65,10980,11,0.0651183970856102
Fyns Storkreds,Camilla Hersom,The Danish Social-Liberal Party,3958,7109,4,2.227036151357434
Fyns Storkreds,Emil Dyred,The Danish Social-Liberal Party,1476,7109,4,0.8304965536643691
Fyns Storkreds,Mathias Kryspin Sørensen,The Danish Social-Liberal Party,1033,7109,4,0.5812350541567027
Fyns Storkreds,Tage Krogh Nielsen,The Danish Social-Liberal Party,642,7109,4,0.36123224082149386
Sydjyllands Storkreds,Lotte Rod,The Danish Social-Liberal Party,3776,9501,8,3.179454794232186
Sydjyllands Storkreds,Marlene B. Lorentzen,The Danish Social-Liberal Party,2068,9501,8,1.7412903904852122
