"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","province"
"23",0.95075836498541,0,0.733106911973311,0.354667304756552,0.524535325951448,0.977962306889685,0.391026670423406,0,1,0.265220161615406,0.645332695243448,0.474447770381825,0,0.608973329576593,"DIGUILLIN"
"24",0.975327938045793,0.00356363226146603,0.819634991742335,0.44607663654456,0.596582323584381,0.987961651626237,0.532271567140318,0,0.996362132285041,0.180365008257665,0.55368799472572,0.392886629303535,0,0.463301951763843,"EL LOA"
"25",1,0.0160062759513169,0.837505695383549,0.472865934893267,0.582982138291823,0.99901360270073,0.613315687231768,0,0.983737962184284,0.162494304616451,0.526899408516835,0.407584259260057,0,0.366386089396359,"ELQUI"
"26",0.987779181303573,0.0143849571537785,0.810535083238335,0.432517806211325,0.552793887226019,0.992913055948967,0.463123569547834,0,0.985498696908618,0.188649613836721,0.567368931303847,0.441129389229079,0,0.53452058090976,"GENERAL CARRERA"
"27",1,0.0135141083758537,0.909844842952334,0.463005738310757,0.577781332432777,0.996027718078842,0.476710008268743,0,0.986387140805428,0.0901551570476659,0.536756239466393,0.414404772575634,0,0.517252023090348,"HUASCO"
"28",0.971095952345723,0.00204209851585464,0.803621850063729,0.432979352793059,0.564494832283275,0.985686431955683,0.510781957905449,0,0.997927271497795,0.196140319423792,0.56676861247116,0.428443001725169,0,0.482175272506094,"IQUIQUE"
"29",1,0.0273564666725409,0.889619440986958,0.550191921382971,0.654026304673623,1,0.664012331487269,0,0.972230220768627,0.110380559013042,0.449808078617029,0.330915337473779,0,0.31088339469973,"ISLA DE PASCUA"
"30",0.95378566320888,0,0.653200080600466,0.349714342245182,0.532071044374406,0.979722949732485,0.332781423540174,0,1,0.345593998437563,0.650285657754818,0.465481812264555,0,0.667218576459826,"ITATA"
"31",1,0.0162565188609973,0.861546677671564,0.479659407512393,0.612104293230763,1,0.612011799811935,0,0.983289862712987,0.138453322328436,0.520152544624869,0.375517587206107,0,0.369831444264735,"LIMARI"
"32",0.95813306882752,0,0.749057394335223,0.361231988745777,0.53327795461356,0.9790971455734,0.413208418751515,0,1,0.249457833877084,0.638768011254223,0.46405530228018,0,0.586791581248485,"LINARES"
