"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","commune"
"136",0.94175357728208,0,0.628773804802386,0.188914997859124,0.968153443099699,0.984560547031054,0.54560353175183,0,1,0.360446197159384,0.788318537264463,0,0,0.444470947616041,"LAS CONDES"
"137",0.956884651980612,0.0129062456917203,0.62541847142648,0.236366902663858,0.957050318912672,0.987513153423935,0.452421497894639,0,0.986880099130722,0.367338969931392,0.742485914752083,0,0,0.522726202478106,"LAUTARO"
"138",0.963078788615777,0.0433952903560835,0.608154109842151,0.246948864013398,0.926796698396521,0.989839636010385,0.439717044736313,0,0.95491815100854,0.379400699198429,0.732620247766119,0,0,0.534348422657318,"LEBU"
"139",0.992184238708562,0.0721445330578926,0.865710605462883,0.332205320341173,1,0.999207990628344,0.588648471137787,0,0.927855466942107,0.134289394537117,0.654787779264525,0,0,0.411351528862214,"LICANTEN"
"140",0.971339638389198,0.0579829189285881,0.730704454396691,0.268569651358169,0.963370874922865,0.993581274636345,0.56077558951621,0,0.941203311902009,0.260460907862132,0.713435201906568,0,0,0.43264694661489,"LIMACHE"
"141",0.960022847135181,0.0310066392329128,0.672097412104929,0.240101070846397,0.957339130741474,0.98663463060166,0.499607248547967,0,0.968354983260379,0.317553471964497,0.739416893809629,0,0,0.482564097708759,"LINARES"
"142",0.971965182886396,0.0456055765356151,0.674279653344922,0.25772313642583,0.954947501951721,0.991101830671329,0.523536649134438,0,0.953478024969158,0.320343797980016,0.719478061633815,0,0,0.46176137595656,"LITUECHE"
"143",1,0.0993273163160982,0.93185049816464,0.301467463538328,1,1,0.671765901842696,0,0.900672683683902,0.0681495018353599,0.685405119462368,0,0,0.328234098157304,"LLAILLAY"
"144",0.978954777134886,0.0768970986001265,0.741035190960947,0.26260394549805,0.949485394344667,1,0.524955144049422,0,0.921760122389294,0.253735786797765,0.718330095588595,0,0,0.461646391606225,"LLANQUIHUE"
"145",0.953595177482005,0,0.651207813711614,0.170529906996376,0.968212888543582,0.976915289821443,0.551113064423652,0,1,0.337823766907199,0.812874874631411,0,0,0.44008705092487,"LO BARNECHEA"
"146",1,0.112004830862508,0.877895345646008,0.300617311452189,1,1,0.608097314437534,0,0.887995169137492,0.122104654353991,0.68382253847227,0,0,0.391902685562466,"LO ESPEJO"
