commune,candidate,value,rate_x,votes,rate_y,divisiveness,voters,poverty_rate,hhi,entropy,growth
LAMPA,ALEJANDRO  GUILLIER ALVAREZ,4743.0,0.20509383378016086,10058.0,0.41525948557037284,0.0552844105130643,49911,0.101971894824175,0.26130582410626946,1.5557160681786142,0.210165651790212
LAMPA,SEBASTIAN PIÑERA ECHENIQUE,9546.0,0.41278214996108276,14163.0,0.5847405144296272,0.0701183031992024,49911,0.101971894824175,0.26130582410626946,1.5557160681786142,0.1719583644685444
LANCO,ALEJANDRO  GUILLIER ALVAREZ,2027.0,0.28449122807017546,3393.0,0.44036340038935756,0.0477039685968923,15702,0.1425972316776826,0.2814546457371499,1.5068971948555387,0.1558721723191821
LANCO,SEBASTIAN PIÑERA ECHENIQUE,3001.0,0.42119298245614034,4312.0,0.5596365996106425,0.0663303114559188,15702,0.1425972316776826,0.2814546457371499,1.5068971948555387,0.13844361715450215
LAS CABRAS,ALEJANDRO  GUILLIER ALVAREZ,2140.0,0.25524809160305345,4322.0,0.46194955109020946,0.064046530728655,19230,0.1115536843479069,0.2604528778006818,1.5536544736714668,0.20670145948715601
LAS CABRAS,SEBASTIAN PIÑERA ECHENIQUE,3332.0,0.3974236641221374,5034.0,0.5380504489097905,0.0726785860119332,19230,0.1115536843479069,0.2604528778006818,1.5536544736714668,0.14062678478765306
LAS CONDES,ALEJANDRO  GUILLIER ALVAREZ,11042.0,0.07175255052310092,29782.0,0.18246761999289293,0.0282436056349239,251198,0.02787233237312144,0.4549162613614507,1.1808162996526708,0.11071506946979201
LAS CONDES,SEBASTIAN PIÑERA ECHENIQUE,100652.0,0.6540515952953408,133436.0,0.817532380007107,0.0551501727203749,251198,0.02787233237312144,0.4549162613614507,1.1808162996526708,0.1634807847117662
LAUTARO,ALEJANDRO  GUILLIER ALVAREZ,2672.0,0.18590412579141447,5827.0,0.36982736735211985,0.036223847569114,33042,0.1852949085178142,0.2490774888011305,1.6078092991445936,0.18392324156070539
LAUTARO,SEBASTIAN PIÑERA ECHENIQUE,5969.0,0.4152925624434704,9929.0,0.6301726326478801,0.0655683818444912,33042,0.1852949085178142,0.2490774888011305,1.6078092991445936,0.21488007020440975
LEBU,ALEJANDRO  GUILLIER ALVAREZ,2981.0,0.3133936080740118,4903.0,0.49560295158192663,0.0499142276282184,21627,0.1728088251464594,0.20855564853319714,1.7154652266338148,0.18220934350791484
LEBU,SEBASTIAN PIÑERA ECHENIQUE,2275.0,0.23917157275021025,4990.0,0.5043970484180734,0.0550455967171211,21627,0.1728088251464594,0.20855564853319714,1.7154652266338148,0.26522547566786314
LICANTEN,ALEJANDRO  GUILLIER ALVAREZ,972.0,0.3026151930261519,1804.0,0.4965593173685659,0.0629218197105355,6787,0.1311718220416119,0.260343760710536,1.556337176216783,0.19394412434241398
LICANTEN,SEBASTIAN PIÑERA ECHENIQUE,1207.0,0.3757783312577833,1829.0,0.503440682631434,0.0608784701241474,6787,0.1311718220416119,0.260343760710536,1.556337176216783,0.12766235137365073
LIMACHE,ALEJANDRO  GUILLIER ALVAREZ,3563.0,0.207973383142657,7978.0,0.4411634594116346,0.0576551078458911,37014,0.1042934712417906,0.25389122621461335,1.5509728829303584,0.2331900762689776
LIMACHE,SEBASTIAN PIÑERA ECHENIQUE,6515.0,0.38028251225776327,10106.0,0.5588365405883654,0.0654719059041993,37014,0.1042934712417906,0.25389122621461335,1.5509728829303584,0.17855402833060213
LINARES,ALEJANDRO  GUILLIER ALVAREZ,7366.0,0.20911284599006388,15140.0,0.38378666125884053,0.0509781778688905,80185,0.1094189877149527,0.25232060388428645,1.5829388791410812,0.17467381526877665
LINARES,SEBASTIAN PIÑERA ECHENIQUE,14319.0,0.40650106458481194,24309.0,0.6162133387411595,0.0705380947131445,80185,0.1094189877149527,0.25232060388428645,1.5829388791410812,0.20971227415634752
