province,candidate,value,rate_x,votes,rate_y,divisiveness,voters,hhi,entropy,growth
MAGALLANES,JOSE ANTONIO KAST RIST,15918.0,0.2806368011847464,24926.0,0.3881405814478581,0.0660451793679216,124011,0.21571394749916004,1.6799092851266124,0.10750378026311175
MAIPO,GABRIEL BORIC FONT,50051.0,0.28750071801941524,128060.0,0.602156402672698,0.0650613299859921,384175,0.20186927754941222,1.7289865460257905,0.31465568465328275
MAIPO,JOSE ANTONIO KAST RIST,47090.0,0.27049227411109195,84609.0,0.39784359732730207,0.0685615909697366,384175,0.20186927754941222,1.7289865460257905,0.12735132321621012
MALLECO,GABRIEL BORIC FONT,10980.0,0.12847364418182883,32884.0,0.3243285893225237,0.0435067627805152,200295,0.31208245493543746,1.4856818264513862,0.19585494514069485
MALLECO,JOSE ANTONIO KAST RIST,43750.0,0.5119054583747733,68507.0,0.6756714106774763,0.0810431787931063,200295,0.31208245493543746,1.4856818264513862,0.16376595230270297
MARGA MARGA,GABRIEL BORIC FONT,42247.0,0.2843996553302636,97627.0,0.5669889943955629,0.0572285160444999,292869,0.21005696488736153,1.704132983262403,0.2825893390652993
MARGA MARGA,JOSE ANTONIO KAST RIST,43568.0,0.293292403802138,74558.0,0.43301100560443706,0.0578932874396356,292869,0.21005696488736153,1.704132983262403,0.13971860180229906
MELIPILLA,GABRIEL BORIC FONT,17308.0,0.26241736915519437,46005.0,0.5542170126130902,0.0651406993813996,151768,0.20324553962598327,1.717943876138901,0.29179964345789583
MELIPILLA,JOSE ANTONIO KAST RIST,19187.0,0.2909060585845109,37004.0,0.44578298738690986,0.0579755727607963,151768,0.20324553962598327,1.717943876138901,0.15487692880239895
OSORNO,GABRIEL BORIC FONT,19370.0,0.19296480409639274,58877.0,0.5050178412132025,0.0476408523838075,215629,0.20593291732714591,1.703973167952776,0.31205303711680976
OSORNO,JOSE ANTONIO KAST RIST,32420.0,0.32296948625735944,57707.0,0.4949821587867975,0.0614402789670259,215629,0.20593291732714591,1.703973167952776,0.17201267252943808
PALENA,GABRIEL BORIC FONT,1287.0,0.18496694452428858,3928.0,0.4577555063512411,0.069654645585515,20075,0.210005319974708,1.6956243440823624,0.27278856182695255
PALENA,JOSE ANTONIO KAST RIST,2338.0,0.33601609657947684,4653.0,0.5422444936487589,0.077490778692344,20075,0.210005319974708,1.6956243440823624,0.2062283970692821
PARINACOTA,GABRIEL BORIC FONT,203.0,0.0828233374133007,558.0,0.3175867956744451,0.034170645294664,7696,0.2640644431760091,1.5343872050547092,0.2347634582611444
PARINACOTA,JOSE ANTONIO KAST RIST,798.0,0.32558139534883723,1199.0,0.682413204325555,0.0601964184976437,7696,0.2640644431760091,1.5343872050547092,0.35683180897671773
PETORCA,GABRIEL BORIC FONT,9664.0,0.2730792054028088,26281.0,0.612510779126949,0.0562607691166302,73407,0.1889531830537418,1.755674602778718,0.3394315737241402
PETORCA,JOSE ANTONIO KAST RIST,8008.0,0.2262850038147447,16626.0,0.38748922087305104,0.0642903356277765,73407,0.1889531830537418,1.755674602778718,0.16120421705830634
PUNILLA,GABRIEL BORIC FONT,5870.0,0.142271989141763,18410.0,0.36099454880583554,0.0465446413065739,97979,0.24251750030463542,1.6271256789677109,0.21872255966407253
PUNILLA,JOSE ANTONIO KAST RIST,17013.0,0.4123463971497128,32588.0,0.6390054511941645,0.0619015551302375,97979,0.24251750030463542,1.6271256789677109,0.22665905404445175
QUILLOTA,GABRIEL BORIC FONT,20763.0,0.24830184166467353,57685.0,0.5975738615174243,0.0546701015404241,172964,0.1880521414370919,1.7597524094580674,0.3492720198527508
QUILLOTA,JOSE ANTONIO KAST RIST,19807.0,0.23686917005501076,38847.0,0.40242613848257575,0.0641045341630063,172964,0.1880521414370919,1.7597524094580674,0.16555696842756498
RANCO,GABRIEL BORIC FONT,6600.0,0.16478577848796563,19292.0,0.40756311397486006,0.0437200931871702,90967,0.23481587064749512,1.6403899741626784,0.24277733548689442
RANCO,JOSE ANTONIO KAST RIST,15780.0,0.3939878158394088,28043.0,0.59243688602514,0.0559002691176213,90967,0.23481587064749512,1.6403899741626784,0.1984490701857312
SAN ANTONIO,GABRIEL BORIC FONT,21993.0,0.28259193585691156,57099.0,0.6184833353191581,0.0663678504459655,151558,0.19143002710721524,1.7662865930446987,0.33589139946224655
